Category,Outbreak,Location 1 1,Location 1 2 1,Location 1 2 2,Continent,Lat,Long,Date,Year,Cases,Fatalities,Impact Scale,Source Citation,Source,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27
Measles,Measles,Canada ,Ottawa,,North America,46.411572,-75.698194,1/2011,2011.0,6.0,0.0,Secondary,"Canada (Ontario): Measles update . EINet XIV, no. 1 (2011).",http://depts.washington.edu/einet/newsbrief437.html?article=8771#8771,,,,,,,,,,,,,,
Measles,Measles,Canada ,Quebec,,North America,52.939916,-73.549136,4/2011,2011.0,36.0,0.0,Cluster,"CBC News (Montreal), ""Quebec hit by measles outbreak,"" April 28, 2011.",http://www.cbc.ca/news/canada/montreal/story/2011/04/28/quebec-measles-outbreak.html,,,,,,,,,,,,,,
Measles,Measles,Canada ,Quebec,,North America,53.939916,-73.549136,5/2011,2011.0,2.0,0.0,Secondary,Measles - Canadian Coalition for Immunization Awareness & Promotion. Canadian Coalition for Immunization Awareness & Promotion - CCIAP.,http://www.immunize.cpha.ca/en/diseases-vaccines/measles.aspx,,,,,,,,,,,,,,
Measles,Measles,Canada ,Quebec,,North America,52.93992,-73.54914,1/2011-12/2011,2011.0,776.0,0.0,Epidemic,"Government of Quebec. ""Final report on the provincial outbreak of measles in 2011
."" March 21, 2012. 
",http://www.msss.gouv.qc.ca/en/sujets/prob_sante/measles/portrait2011.php,,,,,,,,,,,,,,
Measles,Measles,Canada ,Saskatchewan,,North America,52.939916,-106.450864,1/2011-12/2011,2011.0,6.0,0.0,Cluster,"Prince Albert health region investigating case of measles, CTV News, October 10, 2012.",http://saskatoon.ctvnews.ca/prince-albert-health-region-investigating-case-of-measles-1.990142,,,,,,,,,,,,,,
Mumps,Mumps,Canada ,Vancouver,,North America,49.261226,-123.113927,2/2011-7/2011,2011.0,90.0,0.0,Epidemic,"ProMed. ""NEWS SCAN: Botulism cases, Tdap vaccine for seniors, BC mumps outbreak, animal welfare & eggs."" Center for Disease Research and Policy , July 7, 2011.",http://www.cidrap.umn.edu/cidrap/content/bt/botulism/news/jul0811newsscan.html,,,,,,,,,,,,,,
Mumps,Mumps,Canada ,Whistler,,North America,50.116168,-122.959423,4/2011,2011.0,15.0,0.0,Cluster,"News 1130, ""An outbreak of mumps in Whistler,"" April 14, 2011.",http://www.news1130.com/news/local/article/212600--an-outbreak-of-mumps-in-whistler,,,,,,,,,,,,,,
Measles,Measles,Canada ,Alberta,,North America,53.54356,-113.49045,3/2012,2012.0,1.0,0.0,Isolated,"The Canadian Press. ""Measles case has Edmonton health officials warning of possible exposures."" March 20, 2012.",http://ca.news.yahoo.com/measles-case-edmonton-health-officials-warning-possible-exposures-205713378.html,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,British Columbia,,North America,55.17887,-126.12305,11/2011-7/2012,2012.0,247.0,0.0,Epidemic,"O'Connor, Elaine. ""B.C. whooping cough outbreak slowing, remains a concern to local officials."" The Province. July 25, 2012.",http://www.theprovince.com/news/whooping%20cough%20outbreak%20slowing%20remains%20concern%20local%20officials/6982432/story.html,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Montreal,,North America,45.50867,-73.55399,9/2012,2012.0,106.0,0.0,Cluster,"CBCNews. ""Whooping cough on rise."" September 26, 2012.",http://www.cbc.ca/news/canada/montreal/whooping-cough-on-rise-1.1155085,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,New Brunswick,,North America,46.56532,-66.46192,1/2012-5/2012,2012.0,548.0,0.0,Epidemic,"Kunnen, Noortje. ""New Brunswick Department of Health."" ProMED. May 23, 2012.",http://www.promedmail.org/direct.php?id=20120523.1142647,,,,,,,,,,,,,,
Measles,Measles,Canada ,Ontario,,North America,51.56341,-88.94531,8/2012,2012.0,1.0,0.0,Isolated,"Measles case confirmed in Durham, durhamregion.com, August 11, 2012.",http://www.durhamregion.com/community/health/article/1472546--measles-case-confirmed-in-durham,,,,,,,,,,,,,,
Measles,Measles,Canada ,Saskatchewan,,North America,53.70971,-106.43555,10/2012,2012.0,1.0,0.0,Cluster,"Prince Albert health region investigating case of measles, CTV News, October 10, 2012.",http://saskatoon.ctvnews.ca/prince-albert-health-region-investigating-case-of-measles-1.990142,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Yukon Territory,,North America,64.28233,-135.00001,4/2012,2012.0,5.0,0.0,Cluster,"CBC News. ""Whooping cough outbreak in Yukon."" April 30, 2012.",http://www.cbc.ca/news/canada/north/story/2012/04/30/north-whooping-cough-yukon.html,,,,,,,,,,,,,,
Measles,Measles,Canada ,British Columbia,,North America,49.22949,-123.00258,9/2013,2013.0,4.0,0.0,Cluster,"Murti, Michael, et al. ""Case of vaccine-associated measles five weeks post-immunisation, British Columbia, Canada."" Eurosurveillance. December 5, 2013.",http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=20649,,,,,,,,,,,,,,
Measles,Measles,Canada ,British Columbia,,North America,53.72667,-127.64762,6/2013,2013.0,8.0,0.0,Cluster,"Times Colonist. ""Measles outbreak in Whistler and Pemberton; health officials suggest vaccination."" July 12, 2013.",http://www.timescolonist.com/life/health/measles-outbreak-in-whistler-and-pemberton-health-officials-suggest-vaccination-1.522445,,,,,,,,,,,,,,
Measles,Measles,Canada ,Calgary,,North America,51.04532,-114.0581,11/2013,2013.0,36.0,0.0,Cluster,"Dunn, Stephanie. ""36 cases confirmed in measles outbreak."" Global News. November 18, 2013",http://globalnews.ca/news/965747/health-officials-concerned-measles-outbreak-will-spread-during-holiday-travel/,,,,,,,,,,,,,,
Measles,Measles,Canada ,Halton,,North America,43.32552,-79.79903,6/2013-7/2013,2013.0,6.0,0.0,Secondary,"Inside Halton. ""Another case of measles diagnosed in Halton."" July 29, 2013.",http://www.insidehalton.com/news-story/3914892-another-case-of-measles-diagnosed-in-halton/,,,,,,,,,,,,,,
Measles,Measles,Canada ,Halton,,North America,43.32552,-79.79903,6/2013-7/2013,2013.0,6.0,0.0,Secondary,"Inside Halton. ""Another case of measles diagnosed in Halton."" July 29, 2013.",http://www.insidehalton.com/news-story/3914892-another-case-of-measles-diagnosed-in-halton/,,,,,,,,,,,,,,
Measles,Measles,Canada ,New Brunswick,,North America,45.64477,-65.87402,2/2013,2013.0,3.0,0.0,Isolated,"Tropical Medical Bureau. ""Measles alert in New Brunswick Province in Canada."" March 8, 2013.",http://www.tmb.ie/destinations/news.asp?id=189603,,,,,,,,,,,,,,
Measles,Measles,Canada ,Ontario,,North America,43.13264,-80.73906,8/2013,2013.0,2.0,0.0,Isolated,"Barnett, Lynzee. ""Second Lab Confirmed Case Of Measles In One Month."" CJBK Radio. August 16, 2013.",http://www.cjbk.com/LocalNews/story.aspx?ID=2025951,,,,,,,,,,,,,,
Measles,Measles,Canada ,Prince Edward Island,,North America,46.51071,-63.41681,6/2013,2013.0,2.0,0.0,Secondary,"Times Colonist. ""Two cases of measles confirmed on P.E.I., neither individual was vaccinated."" June 29, 2013. ",http://www.timescolonist.com/life/health/two-cases-of-measles-confirmed-on-p-e-i-neither-individual-was-vaccinated-1.338273,,,,,,,,,,,,,,
Measles,Measles,Canada ,Quebec,,North America,45.47654,-75.70127,7/2013,2013.0,1.0,0.0,Isolated,"95,5fm news. ""Un cas de rougeole répertorié à Gatineau."" July 15, 2013.",http://www.985fm.ca/regional/nouvelles/un-cas-de-rougeole-repertorie-a-gatineau-252829.html,,,,,,,,,,,,,,
Measles,Measles,Canada ,Saskatchewan,,North America,53.4982,-106.44,11/2013,2013.0,1.0,0.0,Isolated,"The Globe and Mail. ""Suspected measles case in Saskatchewan worries health officials."" November 7, 2013.",http://www.theglobeandmail.com/news/national/suspected-measles-case-in-saskatchewan-worries-health-officials/article15330274/,,,,,,,,,,,,,,
Measles,Measles,Canada ,Southern Alberta,,North America,51.06588,-114.09143,10/2013,2013.0,42.0,0.0,Cluster,"Alberta Health Services. ""Measles Information.""",http://www.albertahealthservices.ca/9255.asp,,,,,,,,,,,,,,
Measles,Measles,Canada ,Toronto Ontario,,North America,43.65323,-79.38318,2/2013,2013.0,1.0,0.0,Isolated,"Toronto Public Health. ""Surveillance Alert: Measles case in Toronto."" March 5, 2013.",http://www.toronto.ca/health/professionals/pdf/alerts/measles_alert_mar05_2013.pdf,,,,,,,,,,,,,,
Measles,Measles,Canada ,Alberta,,North America,53.93327,-116.5765,4/2014-7/2014,2014.0,31.0,0.0,Cluster,"Dubois, Stephanie. ""Measles outbreak over for Edmonton zone."" Metro News. July 4, 2014.",http://metronews.ca/news/edmonton/1086621/measles-outbreak-over-for-edmonton-zone/,,,,,,,,,,,,,,
Measles,Measles,Canada ,British Columbia,,North America,49.37641,-121.81593,3/2014,2014.0,375.0,0.0,Cluster,"Simmins, Charles.""Measles cases continue to increase."" Health Examiner. April 12, 2014.",http://www.examiner.com/article/measles-cases-continue-to-increase,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Calgary,,North America,51.04532,-114.05810,4/2014-12/2014,2014.0,128.0,0.0,Epidemic,"The Canadian Press. ""Whooping cough outbreak slow to leave Central Alberta."" Calgary Herald. January 9, 2015.",http://calgaryherald.com/health/family-child/whooping-cough-outbreak-slow-to-leave-central-alberta,,,,,,,,,,,,,,
Measles,Measles,Canada ,Fort McMurray,,North America,56.72638        ,-111.38034,5/2014,2014.0,1.0,0.0,Isolated,"Fort McMurray Today. ""Case of measles in Fort McMurray: AHS."" May 9, 2014.",http://www.fortmcmurraytoday.com/2014/05/09/case-of-measles-in-fort-mcmurray-ahs,,,,,,,,,,,,,,
Measles,Measles,Canada ,Hamilton,,North America,43.25002,-79.86609,4/2014,2014.0,1.0,0.0,Isolated,"Huffington Post Canada. ""Measles In Canada: Further Cases Of Virus Spread Across Country."" March 31, 2014.",http://www.huffingtonpost.ca/2014/03/31/measles-canada_n_5062398.html,,,,,,,,,,,,,,
Measles,Measles,Canada ,Manitoba,,North America,53.76086,-98.81388,4/2014,2014.0,7.0,0.0,Isolated,"Kozica, Patricia. ""Latest Alberta measles case linked to Vancouver-Edmonton flight."" Global News. April 19, 2014. ",http://globalnews.ca/news/1280035/new-case-of-measles-confirmed-in-edmonton-area/,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,North Coast British Columbia,,North America,48.81057,-123.28215,5/2014,2014.0,22.0,0.0,Cluster,"Haida Gwaii Observer. ""Outbreak of Whooping Cough on Haida Gwaii."" May 7, 2014.",http://www.haidagwaiiobserver.com/Article.aspx?id=27267,,,,,,,,,,,,,,
Measles,Measles,Canada ,Ontario Peel,,North America,43.67664,-79.78484,4/2014,2014.0,1.0,0.0,Isolated,"Spencer, Jason. ""Even one case of measles is cause for concern: Peel Health."" Mississagua. April 8, 2014.",http://www.mississauga.com/news-story/4454445-even-one-case-of-measles-is-cause-for-concern-peel-health/,,,,,,,,,,,,,,
Measles,Measles,Canada ,Ontario Simcoe County,,North America,44.47165,-79.82967,4/2014,2014.0,1.0,0.0,Isolated,"Browne, Cheryl. ""Confirmed case of measles in Simcoe County."" Orillia packet. April 11, 2014.",http://www.orilliapacket.com/2014/04/11/confirmed-case-of-measles-in-simcoe-county,,,,,,,,,,,,,,
Measles,Measles,Canada ,Ontario,,North America,42.98695,-81.24318,3/2014,2014.0,2.0,0.0,Isolated,"Metro News. ""Second suspected case of measles reported in London."" March 19, 2014. ",http://metronews.ca/news/london/977513/second-suspected-case-of-measles-reported-london-health-unit/,,,,,,,,,,,,,,
Measles,Measles,Canada ,Ottawa,,North America,45.26090,-75.69719,3/2014,2014.0,4.0,0.0,Isolated,"CBC News. ""Measles in Ottawa up to 4 confirmed cases."" March 25, 2014.
",http://www.cbc.ca/news/canada/ottawa/measles-in-ottawa-up-to-4-confirmed-cases-1.2585723,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Prince Edward Island,,North America,46.74719,-64.20199,2/2014-5/2014,2014.0,24.0,0.0,Epidemic,"CBC News. ""Whooping cough outbreak on P.E.I. continues to spread."" May 22, 2014.",http://www.cbc.ca/news/canada/prince-edward-island/whooping-cough-outbreak-on-p-e-i-continues-to-spread-1.2650465,,,,,,,,,,,,,,
Measles,Measles,Canada ,Saskatoon,,North America,52.13340,-106.68324,4/2014,2014.0,1.0,0.0,Isolated,"CBC News. ""Prairie North issues alert over probable measles outbreak."" April 30, 2014.",http://www.cbc.ca/news/canada/saskatchewan/prairie-north-issues-alert-over-probable-measles-outbreak-1.2627599,,,,,,,,,,,,,,
Measles,Measles,Canada ,Saskatchewan,,North America,52.93992,-106.45086,1/2014,2014.0,6.0,0.0,Cluster,"Cowen, Pamela. ""Sask. health officials watching for new cases of measles."" The Leader-Post. January 31. 2014",http://www.leaderpost.com/health/Sask+health+officials+watching+cases+measles/9454684/story.html,,,,,,,,,,,,,,
Measles,Measles,Canada ,British Columbia,,North America,49.19000, -122.80000 ,4/2015,2015.0,11.0,0.0,Secondary,"Judd, Amy. ""11th case of measles confirmed in B.C. as debate on mandatory vaccinations continues."" Global News. April 10, 2015.",http://globalnews.ca/news/1932130/11th-case-of-measles-confirmed-in-b-c-as-debate-on-mandatory-vaccinations-continues/,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Calgary,,North America,51.24841,"-112.99060
",1/2015,2015.0,1.0,0.0,Epidemic,"The Canadian Press. ""Whooping cough outbreak slow to leave Central Alberta."" Calgary Herald. January 9, 2015.",http://calgaryherald.com/health/family-child/whooping-cough-outbreak-slow-to-leave-central-alberta,,,,,,,,,,,,,,
Measles,Measles,Canada ,Manitoba,,North America,49.78640,-97.18144,2/2015-4/2015,2015.0,2.0,0.0,,"Winnipeg Sun. ""Second case of measles reported."" April 24, 2015. 
",http://www.winnipegsun.com/2015/04/24/second-case-of-measles-reported,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Manitoba,,North America,53.7608608,-98.8138763,1/2015-11/2015,2015.0,51.0,0.0,Epidemic,"BlackburnNews.com. ""Parts of Canada seeing spikes in whooping cough."" November 12, 2015. ",https://blackburnnews.com/bri-national/2015/11/12/parts-of-canada-seeing-spikes-in-whooping-cough/,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,New Brunswick,,North America,46.5653163,-66.4619164,10/2015-11/2015,2015.0,47.0,0.0,Epidemic,"CBC News. ""Whooping cough outbreak jumps to 47 cases."" October 29, 2015.",http://www.cbc.ca/news/canada/new-brunswick/whooping-cough-outbreak-1.3293947,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Saskatoon,,North America,52.133214,-106.670046,2015-11-01T00:00:00Z,2015.0,61.0,0.0,Epidemic,"CBC News. ""Whooping cough outbreak reported by Saskatoon Health Region."" November 27, 2015.",http://www.cbc.ca/beta/news/canada/saskatoon/saskatoon-health-region-61-cases-whooping-cough-1.3338134,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,"Ontario, Bruce County, Huron County",,North America,44.13130,-81.15069,1/2015,2015.0,239.0,0.0,Epidemic,"Richardson, Tracey. ""Whooping cough outbreak in southern Bruce County."" Owen Sound Sun Times. July 24, 2015. ",http://www.owensoundsuntimes.com/2015/07/24/whooping-cough-outbreak-in-southern-bruce-county,,,,,,,,,,,,,,
Mumps,Mumps,Canada ,"Ontario, Guelph",,North America,43.54480,-80.24817,6/2015,2015.0,14.0,0.0,Cluster,"Kirsch, Vik. ""Guelph-area mumps outbreak now at 14 confirmed cases."" Guelph Mercury. June 23, 2015. ",lph-area-mumps-outbreak-now-at-14-confirmed-cases/,,,,,,,,,,,,,,
Measles,Measles,Canada ,Ontario,,North America,43.02192, -79.89096 ,2/2015,2015.0,19.0,0.0,Epidemic,"Herriman, Robert. ""Measles outbreak in Toronto declared over, Quebec outbreak grows to 150.' Outbreak News Today. March 24, 2015. ",http://outbreaknewstoday.com/measles-outbreak-in-toronto-declared-over-quebec-outbreak-grows-to-150-150/,,,,,,,,,,,,,,
Other,Tetanus,Canada ,Ontario,,North America,44.56903,-80.94056,6/2015-6/2015,2015.0,1.0,0.0,Isolated,"Branswell, Helen. ""Ontario child develops tetanus infection; mumps outbreak also reported."" The Globe and Mail. June 1, 2015. ",http://www.theglobeandmail.com/news/national/ontario-child-develops-tetanus-infection-mumps-outbreak-also-reported/article24725021/,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Ottawa,,North America,45.42593, -75.68586 ,4/2015,2015.0,7.0,0.0,Cluster,"CBC News. ""Tara Hills, Ottawa mom, changes anti-vaccination stand, but 7 kids still get sick."" April 8, 2015. ",http://www.cbc.ca/news/canada/ottawa/tara-hills-ottawa-mom-changes-anti-vaccination-stand-but-7-kids-still-get-sick-1.3025592,,,,,,,,,,,,,,
Measles,Measles,Canada ,Quebec,,North America,46.64364, -72.14061 ,1/2015-3/2015,2015.0,150.0,0.0,Epidemic,"Herriman, Robert. ""Measles outbreak in Toronto declared over, Quebec outbreak grows to 150."" Outbreak News Today. March 24, 2015. ",http://outbreaknewstoday.com/measles-outbreak-in-toronto-declared-over-quebec-outbreak-grows-to-150-150/,,,,,,,,,,,,,,
Mumps,Mumps,Canada ,Quebec,,North America,43.54488,-80.25010,5/2015,2015.0,2.0,0.0,Cluster,"Warren, May. ""Public health investigating mumps outbreak in two Guelph high schools."" GuelphMercury.com. May 29, 2015.",http://www.guelphmercury.com/news-story/5649727-public-health-investigating-mumps-outbreak-in-two-guelph-high-schools/,,,,,,,,,,,,,,
Measles,Measles,Canada ,Toronto,,North America,43.64975,-79.39898,2/2015,2015.0,10.0,0.0,Cluster,"Torstar News Service. ""10th confirmed case of measles in Toronto an adult female."" February 22, 2015.",http://metronews.ca/news/toronto/1294001/10th-confirmed-case-of-measles-in-toronto-an-adult-female/,,,,,,,,,,,,,,
Measles,Measles,Canada ,Vancouver,,North America,49.26667, -122.96667 ,3/2015,2015.0,4.0,0.0,Cluster,"Radio Canada. ""4 cas de rougeole confirmés à Vancouver."" April 2, 2015.
",http://ici.radio-canada.ca/regions/colombie-britannique/2015/04/02/002-rougeole-maladie-vancouver.shtml,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Yellowknife,,North America,62.4506192,-114.415307,11/2015,2015.0,1.0,0.0,Isolated,"CBC News. ""Range Lake North school student diagnosed with whooping cough
."" November 3, 2015. 
",http://www.cbc.ca/news/canada/north/range-lake-north-school-student-diagnosed-with-whooping-cough-1.3302740,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,"Thunder Bay, Ontario",,North America,48.38090,-89.24768,10/2015-1/2016,2016.0,10.0,0.0,Cluster,"Net News Ledger. ""Whooping Cough Reported in Thunder Bay District – Health Unit."" January 11, 2016. ",http://www.netnewsledger.com/2016/01/11/whooping-cough-reported-in-thunder-bay-district-health-unit/,,,,,,,,,,,,,,
Measles,Measles,Canada ,Vancouver,,North America,45.63873,-122.66149,2/2016,2016.0,1.0,0.0,Isolated,"Sthankiya, Anita. Kelowna Now. ""WestJet Passengers Warned About Measles Exposure."" January 29, 2016.",https://www.kelownanow.com/watercooler/news/news/Provincial/16/01/29/WestJet_Passengers_Warned_About_Measles_Exposure/,,,,,,,,,,,,,,
Measles,Measles,Canada ,"Brampton, Ontario",,North America,43.73155,-79.76242,3/2016,2016.0,1.0,0.0,Isolated,"Northumberland News. ""Case of measles confirmed in Brampton."" March 20, 2016. ",http://www.northumberlandnews.com/news-story/6398564-case-of-measles-confirmed-in-brampton/,,,,,,,,,,,,,,
Measles,Measles,Canada ,Alberta,,North America,53.51974,-113.52326,3/2016,2016.0,1.0,0.0,Isolated,"Rieger, Sarah. ""Alberta Dad gets political after Toddler with Cancer Exposed to Measles."" Huffpost Alberta. April 18, 2016.",http://www.huffingtonpost.ca/2016/04/18/measles-vaccine_n_9721654.html,,,,,,,,,,,,,,
Mumps,Mumps,Canada ,"Whistler, British Columbia",,North America,50.11632,-122.95736,5/2016,2016.0,11.0,0.0,Cluster,"Thom, Shelby. ""Mumps outbreak among young adults in Whistler."" CKNW. May 13, 2016. ",http://www.cknw.com/2016/05/13/mumps-outbreak-among-young-adults-in-whistler/,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Nunavut,,North America,70.299771,-83.107577,10/2016,2016.0,98.0,0.0,Epidemic,"Van Dusen, John. ""Nunavut's whooping cough outbreak reaches Igloolik."" CBC News. October 6, 2016. ",http://www.cbc.ca/news/canada/north/nunavut-whooping-cough-outbreak-igloolik-1.3794814,,,,,,,,,,,,,,
Measles,Measles,Canada ,Ontario,,North America,34.06334,-117.65089,9/2016,2016.0,2.0,0.0,Cluster,"The Windsor Square. ""Ottawa Measles Outbreak Mitigated."" September 12, 2016",http://www.windsorsquare.ca/archives/2016/ottawa-measles-outbreak-mitigated/96279,,,,,,,,,,,,,,
Mumps,Mumps,Canada ,Quebec,,North America,46.64364,-72.14061,12/2016,2016.0,4.0,0.0,Cluster,"Marquis, Rene. ""Des cas d'oreillons chez des employés du CIUSSS-CHUS."" LaTribune. December 19, 2016. ",http://www.lapresse.ca/la-tribune/actualites/sherbrooke/201612/19/01-5052804-des-cas-doreillons-chez-des-employes-du-ciusss-chus.php,,,,,,,,,,,,,,
Measles,Measles,Canada ,Halifax,,North America,44.648764,-63.575239,2/2017,2017.0,7.0,0.0,Cluster,"The Chronicle Herald. ""Update: 7  measles cases now confirmed in Halifax."" February 23, 2017.",http://thechronicleherald.ca/novascotia/1444412-update-7-measles-cases-now-confirmed-in-halifax,,,,,,,,,,,,,,
Mumps,Mumps,Canada ,Toronto,,North America,43.653226,-79.383184,3/2017,2017.0,62.0,0.0,Cluster,"Goodfield, Kayla. ""Mumps outbreak in Toronto grows to 62 cases."" CTV News Toronto. March 23, 2017. ",http://toronto.ctvnews.ca/mumps-outbreak-in-toronto-grows-to-62-cases-1.3338044,,,,,,,,,,,,,,
Mumps,Mumps,Canada ,Alberta,,North America,53.933271,-116.576504,2/2017,2017.0,9.0,0.0,Cluster,"CBC. ""Medicine Hat mumps outbreak prompts alert as virus hits hockey team."" February 22, 2017. ",https://ca.news.yahoo.com/6-cases-mumps-reported-medicine-210455829.html,,,,,,,,,,,,,,
Attacks,Announcement,Canada ,Vancouver,,North America,45.63873,-122.66149,3/2017,2017.0,0.0,0.0,Announcement,"Wood, Graeme. ""Health officers on watch for possible measles outbreak from Vancouver International Airport."" Richmond News. March 3, 2017. ",http://www.richmond-news.com/news/health-officers-on-watch-for-possible-measles-outbreak-from-vancouver-international-airport-1.10933449,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Vancouver,,North America,45.63873,-122.66149,3/2017,2017.0,2.0,0.0,Cluster,"The Columbian. ""School reports two whooping cough cases."" March 14, 2017. ",http://www.columbian.com/news/2017/mar/14/school-reports-two-whooping-cough-cases/,,,,,,,,,,,,,,
Mumps,Mumps,Canada ,Ontario,,North America,34.06334,-117.65089,3/2017,2017.0,3.0,0.0,Cluster,"Weidner, Johanna. ""Small increase in mumps cases in Waterloo Region."" The Record. March 20, 2017. ",http://www.therecord.com/news-story/7200186-small-increase-in-mumps-cases-in-waterloo-region/,,,,,,,,,,,,,,
Measles,Measles,Canada ,Ontario Peel,,North America,43.676640,-79.784842,3/2017,2017.0,8.0,0.0,Cluster,"Region of Peel. ""Measles Exposure at Multiple Locations in Mississauga Between March 25-27, 2017."" March 30, 2017. ",http://www.peelregion.ca/news/archiveitem.asp?year=2017&month=2&day=30&file=2017230a.xml,,,,,,,,,,,,,,
Measles,Measles,Canada ,Toronto,,North America,43.653226,-79.383184,3/2017,2017.0,3.0,0.0,Secondary,"CTV Vancouver. ""Airlines warn of possible measles exposure on flights."" March 31, 2017. ",http://bc.ctvnews.ca/airlines-warn-of-possible-measles-exposure-on-flights-1.3349747,,,,,,,,,,,,,,
Measles,Measles,Canada ,"Kingston, Ontario",,North America,44.231172,-76.485954,4/2017,2017.0,1.0,0.0,Isolated,"Vilela, Chris. ""Residents of Kingston apartment building receive notice due to confirmed measles case."" Kingston Region. April 2, 2017. ",https://www.kingstonregion.com/news-story/7221913-residents-of-kingston-apartment-building-receive-notice-due-to-confirmed-measles-case/,,,,,,,,,,,,,,
Measles,Measles,Canada ,New Brunswick,,North America,46.565316,-66.461916,4/2017,2017.0,1.0,0.0,Secondary,"MacKinnon, Bobbi Jean. ""1st confirmed case of measles in New Brunswick is UNB Fredericton student."" CBC News. April 10, 2017. ",http://www.cbc.ca/news/canada/new-brunswick/measles-unb-fredericton-student-1.4063848,,,,,,,,,,,,,,
Measles,Measles,Canada ,"Calgary, Alberta",,North America,51.048615,-114.070846,4/2017,2017.0,1.0,0.0,Isolated,"Nagai, Tracy. ""Case of measles at Calgary Shoppers Drug Mart prompts warning."" Global News. April 11, 2017. ",http://globalnews.ca/news/3371341/case-of-measles-at-calgary-shoppers-drug-mart-prompts-warning/,,,,,,,,,,,,,,
Measles,Measles,Canada ,Nova Scotia,,North America,44.681987,-63.744311,5/2017,2017.0,32.0,0.0,Cluster,"Powell, Laurence. ""Measles case confirmed at Valley Regional Hospital in Kentville last week."" Annapolis County Spectator. May 29, 2017.",http://www.annapoliscountyspectator.ca/news/local/2017/5/29/measles-case-confirmed-at-valley-regional-hospital-in-kentville-.html,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Alberta,,North America,56.212050,-115.048828,1/2017,2017.0,178.0,0.0,Cluster,"Outbreak News Today. ""Alberta pertussis: Cases confirmed throughout the province."" June 17, 2017.",http://outbreaknewstoday.com/alberta-pertussis-cases-confirmed-throughout-province-80561/,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,British Columbia,,North America,49.458959,-120.506157,6/2017,2017-02-17T00:00:00Z,25.0,0.0,Cluster,"Thom, Shelby. ""Whooping cough cluster in Princeton prompts public health alert."" Global News. June 7, 2017.",http://globalnews.ca/news/3511265/whooping-cough-cluster-in-princeton-prompts-public-health-alert/,,,,,,,,,,,,,,
Whooping Cough,Whooping Cough,Canada ,Yukon,,North America,64.282327,-135.000000,7/2017,2017.0,30.0,0.0,Cluster,"McKenzie, Jamie-Lee. ""Whooping cough cases continue to rise in the Yukon."" Yukon News. July 17, 2017.",http://www.yukon-news.com/news/whooping-cough-cases-continue-to-rise-in-the-yukon/,,,,,,,,,,,,,,
Measles,Measles,Central African Republic,,,Africa,6.611111,20.939444,1/2010-4/2010,2010.0,31.0,0.0,Cluster,UNICEF - Press centre - Measles outbreaks threaten progress in child mortality in west and central Africa. UNICEF - UNICEF Home.,http://www.unicef.org/media/media_53399.html,,,,,,,,,,,,,,
Polio,Polio,Central African Republic,,,Africa,7.1336,20.99487,1/2011-12/2011,2011.0,4.0,0.0,Cluster,"Global Polio Eradication Initiative. ""Polio this week - As of Thursday 18 January 2012."" January 18, 2012.",http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx,,,,,,,,,,,,,,
Measles,Measles,Central African Republic,,,Africa,4.3617,18.55597,1/2014,2014.0,8.0,0.0,Cluster,"World Health Organization. ""WHO and partners launch measles vaccination in Central African Republic."" January 2, 2014.",http://reliefweb.int/report/central-african-republic/who-and-partners-launch-measles-vaccination-central-african-republic,,,,,,,,,,,,,,
Measles,Measles,Chad,,,Africa,15.454166,19.17513,1/2010-4/2010,2010.0,5832.0,79.0,Epidemic,UNICEF - Press centre - Measles outbreaks threaten progress in child mortality in west and central Africa. UNICEF - UNICEF Home.,http://www.unicef.org/media/media_53399.html,,,,,,,,,,,,,,
